('M0P1', 'M0P2') [[30.496181]]
('N56', 'N130') [[18.50463]]
('N39', 'N182') [[18.5031]]
('N52', 'N172') [[18.502722]]
('N129', 'N133') [[18.502525]]
('N106', 'N123') [[18.50221]]
('N73', 'N201') [[18.501822]]
('N54', 'N139') [[18.501068]]
('N61', 'N136') [[18.500841]]
('N37', 'N198') [[18.500492]]
('N120', 'N239') [[18.500317]]
('N53', 'N171') [[18.498192]]
('N61', 'N106') [[18.497898]]
('N68', 'N148') [[18.497534]]
('N61', 'N223') [[18.496792]]
('N105', 'N196') [[18.495754]]
('N172', 'N252') [[18.495699]]
('N14', 'N120') [[18.495296]]
('N53', 'N189') [[18.494886]]
('N66', 'N68') [[18.494743]]
('N68', 'N200') [[18.494463]]
('N105', 'N181') [[18.492931]]
('N176', 'N241') [[18.492704]]
('N177', 'N244') [[18.49218]]
('N152', 'N162') [[18.492048]]
('N165', 'N229') [[18.491625]]
('N53', 'N129') [[18.490652]]
('N42', 'N115') [[18.489944]]
('N12', 'N53') [[18.489521]]
('N139', 'N210') [[18.489016]]
('N32', 'N88') [[18.488958]]
('N102', 'N172') [[18.487667]]
('N58', 'N239') [[18.48745]]
('N61', 'N87') [[18.487297]]
('N51', 'N241') [[18.486982]]
('N33', 'N88') [[18.48622]]
('N16', 'N173') [[18.484503]]
('N14', 'N182') [[18.484343]]
('N74', 'N120') [[18.484205]]
('N88', 'N244') [[18.484125]]
('N155', 'N172') [[18.484018]]
('N14', 'N239') [[18.483477]]
('N126', 'N226') [[18.483055]]
('N59', 'N69') [[18.482258]]
('N12', 'N68') [[18.481768]]
('N23', 'N69') [[18.481653]]
('N152', 'N244') [[18.4816]]
('N61', 'N245') [[18.481386]]
('N139', 'N177') [[18.480352]]
('N79', 'N222') [[18.480247]]
('N179', 'N216') [[18.480164]]
('N162', 'N243') [[18.479382]]
('N139', 'N246') [[18.479105]]
('N156', 'N226') [[18.478401]]
('N19', 'N126') [[18.478346]]
('N14', 'N58') [[18.47715]]
('N150', 'N231') [[18.477133]]
('N61', 'N112') [[18.47708]]
('N54', 'N144') [[18.47674]]
('N72', 'N231') [[18.476696]]
('N58', 'N72') [[18.476696]]
('N39', 'N151') [[18.476616]]
('N102', 'N198') [[18.476585]]
('N176', 'N196') [[18.47642]]
('N55', 'N176') [[18.476343]]
('N3', 'N69') [[18.474695]]
('N61', 'N65') [[18.474571]]
('N73', 'N139') [[18.474358]]
('N1', 'N173') [[18.473875]]
('N32', 'N247') [[18.472628]]
('N39', 'N198') [[18.472197]]
('N177', 'N207') [[18.471603]]
('N143', 'N237') [[18.471487]]
('N53', 'N168') [[18.470388]]
