('M0P1', 'M0P2') [[39.81325]]
('N75', 'N188') [[18.451048]]
('N100', 'N191') [[18.45097]]
('N130', 'N170') [[18.448725]]
('N27', 'N171') [[18.448195]]
('N27', 'N218') [[18.447832]]
('N191', 'N194') [[18.44708]]
('N11', 'N106') [[18.447079]]
('N181', 'N219') [[18.447039]]
('N18', 'N143') [[18.446728]]
('N106', 'N131') [[18.4464]]
('N27', 'N131') [[18.446192]]
('N16', 'N91') [[18.44605]]
('N68', 'N219') [[18.446022]]
('N168', 'N233') [[18.44581]]
('N15', 'N88') [[18.445799]]
('N11', 'N233') [[18.444246]]
('N204', 'N209') [[18.443905]]
('N3', 'N208') [[18.443378]]
('N131', 'N185') [[18.441969]]
('N174', 'N188') [[18.441902]]
('N33', 'N75') [[18.441458]]
('N26', 'N212') [[18.44134]]
('N58', 'N77') [[18.440878]]
('N115', 'N253') [[18.439888]]
('N126', 'N137') [[18.439045]]
('N18', 'N91') [[18.438408]]
('N11', 'N253') [[18.438251]]
('N179', 'N204') [[18.437592]]
('N91', 'N222') [[18.437572]]
('N3', 'N131') [[18.437527]]
('N84', 'N162') [[18.437107]]
('N3', 'N68') [[18.437075]]
('N150', 'N200') [[18.436558]]
('N26', 'N194') [[18.435251]]
('N55', 'N188') [[18.434406]]
('N33', 'N154') [[18.43271]]
('N45', 'N243') [[18.432491]]
('N91', 'N96') [[18.43085]]
('N176', 'N183') [[18.430666]]
('N63', 'N160') [[18.430471]]
('N219', 'N235') [[18.430332]]
('N123', 'N176') [[18.430244]]
('N11', 'N222') [[18.430222]]
('N75', 'N222') [[18.430004]]
('N75', 'N130') [[18.429844]]
('N17', 'N130') [[18.42901]]
('N8', 'N143') [[18.42874]]
('N190', 'N204') [[18.428148]]
('N17', 'N27') [[18.427841]]
('N89', 'N209') [[18.427385]]
('N15', 'N104') [[18.42703]]
('N32', 'N166') [[18.42659]]
('N100', 'N232') [[18.426311]]
('N26', 'N81') [[18.42591]]
('N54', 'N163') [[18.425615]]
('N76', 'N137') [[18.42523]]
('N144', 'N233') [[18.42487]]
('N100', 'N161') [[18.424286]]
('N71', 'N253') [[18.4242]]
('N15', 'N149') [[18.424126]]
('N18', 'N183') [[18.423737]]
('N166', 'N253') [[18.422203]]
('N113', 'N225') [[18.421665]]
('N21', 'N161') [[18.420616]]
('N100', 'N215') [[18.42047]]
('N91', 'N204') [[18.420158]]
('N46', 'N153') [[18.420155]]
('N8', 'N242') [[18.419548]]
('N185', 'N253') [[18.419153]]
('N15', 'N102') [[18.418993]]
('N113', 'N136') [[18.417368]]
('N126', 'N151') [[18.416466]]
('N100', 'N204') [[18.415363]]
('N197', 'N222') [[18.415197]]
('N17', 'N92') [[18.414885]]
('N150', 'N181') [[18.414845]]
('N176', 'N190') [[18.414766]]
('N15', 'N204') [[18.414679]]
('N185', 'N197') [[18.414085]]
('N81', 'N176') [[18.413616]]
('N113', 'N161') [[18.413324]]
('N16', 'N117') [[18.41324]]
('N18', 'N102') [[18.412407]]
('N91', 'N181') [[18.4122]]
('N21', 'N126') [[18.411535]]
('N100', 'N201') [[18.410873]]
('N143', 'N242') [[18.410872]]
('N26', 'N117') [[18.410069]]
('N68', 'N130') [[18.409988]]
('N106', 'M0P1') [[18.409954]]
('N15', 'N85') [[18.409805]]
('N55', 'N170') [[18.40944]]
('N145', 'N235') [[18.409315]]
('N14', 'N176') [[18.409132]]
('N125', 'N150') [[18.40913]]
('N153', 'N190') [[18.408972]]
('N27', 'N179') [[18.408709]]
('N15', 'N131') [[18.407537]]
('N96', 'N222') [[18.406704]]
('N21', 'N26') [[18.40649]]
('N8', 'N219') [[18.406294]]
('N135', 'N144') [[18.405857]]
('N3', 'N17') [[18.405857]]
('N11', 'N26') [[18.40536]]
('N113', 'N204') [[18.405018]]
('N100', 'N208') [[18.405008]]
('N18', 'N170') [[18.404987]]
('N44', 'N100') [[18.403759]]
('N143', 'N233') [[18.403223]]
('N157', 'N198') [[18.402931]]
('N11', 'N21') [[18.402777]]
('N11', 'N32') [[18.402775]]
('N75', 'N230') [[18.402193]]
('N158', 'N176') [[18.401516]]
('N26', 'N249') [[18.401321]]
('N30', 'N198') [[18.400785]]
('N55', 'N191') [[18.400707]]
('N21', 'N45') [[18.400482]]
('N22', 'N176') [[18.399885]]
('N136', 'N150') [[18.399464]]
('N176', 'N228') [[18.398962]]
('N100', 'N199') [[18.398783]]
('N60', 'N115') [[18.397947]]
('N58', 'N91') [[18.396751]]
('N55', 'N58') [[18.396593]]
('N30', 'N140') [[18.396456]]
('N114', 'N137') [[18.39641]]
('N15', 'N183') [[18.396044]]
('N11', 'N110') [[18.395779]]
('N33', 'N91') [[18.39505]]
('N166', 'N197') [[18.394487]]
('N26', 'N200') [[18.394028]]
('N8', 'N131') [[18.393991]]
('N103', 'N130') [[18.393972]]
('N27', 'N76') [[18.393614]]
('N14', 'N33') [[18.392714]]
('N170', 'N188') [[18.392553]]
('N151', 'N232') [[18.392414]]
('N29', 'N176') [[18.392118]]
('N26', 'N76') [[18.391636]]
('N44', 'N198') [[18.390926]]
('N113', 'N253') [[18.390661]]
('N17', 'N204') [[18.39053]]
('N122', 'N233') [[18.390427]]
('N113', 'N215') [[18.389645]]
('N17', 'N200') [[18.389027]]
('N167', 'N219') [[18.388721]]
('N17', 'N55') [[18.3882]]
('N16', 'N218') [[18.38792]]
('N17', 'N191') [[18.38687]]
('N26', 'N154') [[18.385805]]
('N115', 'N217') [[18.385277]]
('N78', 'N126') [[18.385073]]
('N3', 'N46') [[18.384914]]
('N44', 'N235') [[18.384579]]
('N11', 'N74') [[18.382633]]
('N106', 'N162') [[18.382324]]
('N72', 'N212') [[18.382225]]
('N3', 'N161') [[18.382175]]
('N16', 'N162') [[18.38161]]
('N17', 'N102') [[18.381582]]
('N136', 'N176') [[18.381424]]
('N125', 'N188') [[18.381266]]
('N75', 'N200') [[18.381212]]
('N75', 'N162') [[18.381163]]
('N144', 'N161') [[18.380985]]
('N150', 'N209') [[18.380339]]
('N3', 'N76') [[18.380228]]
('N166', 'N181') [[18.379957]]
('N1', 'N3') [[18.37994]]
('N17', 'N18') [[18.379755]]
